,Synset,Lemma,Lemma_target
0,Synset('sleep.n.01'),sleep,sleep
1,Synset('sleep.n.01'),slumber,sleep
2,Synset('sleep.n.02'),sleep,sleep
3,Synset('sleep.n.02'),sopor,sleep
4,Synset('sleep.n.03'),sleep,sleep
5,Synset('sleep.n.03'),nap,sleep
6,Synset('rest.n.05'),rest,sleep
7,Synset('rest.n.05'),eternal_rest,sleep
8,Synset('rest.n.05'),sleep,sleep
9,Synset('rest.n.05'),eternal_sleep,sleep
10,Synset('rest.n.05'),quietus,sleep
11,Synset('sleep.v.01'),sleep,sleep
12,Synset('sleep.v.01'),kip,sleep
13,Synset('sleep.v.01'),slumber,sleep
14,Synset('sleep.v.01'),log_Z's,sleep
15,Synset('sleep.v.01'),catch_some_Z's,sleep
16,Synset('sleep.v.02'),sleep,sleep
17,Synset('sleeping.n.01'),sleeping,sleeping
18,Synset('quiescence.n.02'),quiescence,sleeping
19,Synset('quiescence.n.02'),quiescency,sleeping
20,Synset('quiescence.n.02'),dormancy,sleeping
21,Synset('quiescence.n.02'),sleeping,sleeping
22,Synset('sleeping.n.03'),sleeping,sleeping
23,Synset('sleep.v.01'),sleep,sleeping
24,Synset('sleep.v.01'),kip,sleeping
25,Synset('sleep.v.01'),slumber,sleeping
26,Synset('sleep.v.01'),log_Z's,sleeping
27,Synset('sleep.v.01'),catch_some_Z's,sleeping
28,Synset('sleep.v.02'),sleep,sleeping
29,Synset('dormant.s.03'),dormant,sleeping
30,Synset('dormant.s.03'),sleeping,sleeping
31,Synset('snore.n.01'),snore,snore
32,Synset('snore.n.02'),snore,snore
33,Synset('snore.n.02'),snoring,snore
34,Synset('snore.n.02'),stertor,snore
35,Synset('snore.v.01'),snore,snore
36,Synset('snore.v.01'),saw_wood,snore
37,Synset('snore.v.01'),saw_logs,snore
38,Synset('snore.n.02'),snore,snoring
39,Synset('snore.n.02'),snoring,snoring
40,Synset('snore.n.02'),stertor,snoring
41,Synset('snore.v.01'),snore,snoring
42,Synset('snore.v.01'),saw_wood,snoring
43,Synset('snore.v.01'),saw_logs,snoring
44,Synset('nap.n.04'),nap,snooze
45,Synset('nap.n.04'),catnap,snooze
46,Synset('nap.n.04'),cat_sleep,snooze
47,Synset('nap.n.04'),forty_winks,snooze
48,Synset('nap.n.04'),short_sleep,snooze
49,Synset('nap.n.04'),snooze,snooze
50,Synset('snooze.v.01'),snooze,snooze
51,Synset('snooze.v.01'),drowse,snooze
52,Synset('snooze.v.01'),doze,snooze
53,Synset('snooze.v.01'),snooze,snooze
54,Synset('snooze.v.01'),drowse,snooze
55,Synset('snooze.v.01'),doze,snooze
56,Synset('sleep.n.03'),sleep,nap
57,Synset('sleep.n.03'),nap,nap
58,Synset('nap.n.02'),nap,nap
59,Synset('pile.n.07'),pile,nap
60,Synset('pile.n.07'),nap,nap
61,Synset('nap.n.04'),nap,nap
62,Synset('nap.n.04'),catnap,nap
63,Synset('nap.n.04'),cat_sleep,nap
64,Synset('nap.n.04'),forty_winks,nap
65,Synset('nap.n.04'),short_sleep,nap
66,Synset('nap.n.04'),snooze,nap
67,Synset('napoleon.n.03'),Napoleon,nap
68,Synset('napoleon.n.03'),nap,nap
69,Synset('nap.v.01'),nap,nap
70,Synset('nap.v.01'),catnap,nap
71,Synset('nap.v.01'),catch_a_wink,nap
