Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,Condition_Id,copy_of_copy_of_cross,copy_of_copy_of_Translation,copy_of_copy_of_Trial_Nr,copy_of_cross,copy_of_cross_context,copy_of_PROGRESS,copy_of_Translation,copy_of_Trial_Nr,copy_of_Trial_Nr_1,copy_of_Trial_Nr_cont_gr2,copy_Trial_Nr_context-gr2,Countdown,cross,cross_cont_gr2,cross-cont_gr2,Environment,factor_2_tg0_task3,Goal,Native lanaguage,other animals,Output device,Pilot,previous work,PROGRESS,PROGRESS_cont_gr2,PROGRESS_context,PROGRESS_context-gr2,PROGRESS-cont_gr2,PROGRESS-cont-gr2,quantity,toughness,toughness ,Translation,Translation_cont_gr2,Translation_context,Translation_context-gr2,Translation-cont_gr2,Translation-cont-gr2,Trial_Nr_cont_gr2,Trial_Nr_context-gr2,Trial_Nr-cont_gr2,Trial_Nr-cont_gr2,Trial_Nr-cont-gr2,Trial_Nr-context,undefined_name,undefined_name,Video control
1113093,1,1,block_1,1,imported_Greetings,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1113093,1,1,block_1,1,Instructions,3,1,"","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1113093,1,20,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",sympathy,"","","","","","","","",""
1113093,2,12,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",alert,"","","","","","","","",""
1113093,3,19,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",protect,"","","","","","","","",""
1113093,4,6,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",protect,"","","","","","","","",""
1113093,5,11,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",help,"","","","","","","","",""
1113093,6,7,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",play,"","","","","","","","",""
1113093,7,18,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",need,"","","","","","","","",""
1113093,8,16,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,9,14,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",sex,"","","","","","","","",""
1113093,10,4,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",power,"","","","","","","","",""
1113093,11,8,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",need food,"","","","","","","","",""
1113093,12,9,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",need food,"","","","","","","","",""
1113093,13,13,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",sex,"","","","","","","","",""
1113093,14,1,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,15,2,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,16,15,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,17,10,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",searching food,"","","","","","","","",""
1113093,18,3,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,19,17,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,20,5,block_4,2,Ape task with context group 2,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",fun,"","","","","","","","",""
1113093,1,1,block_1,1,Survey,2,1,"","","","","","","","","","","","","","","",option_0,"","",Polish,option_1,option_1,"",option_1,"","","","","","","","","","","","","","","","","","","","","","","",""
1113093,1,1,block_6,3,imported_Closing survey,2,1,"","","","","","","","","","","","","","","","","",recognizing gestures,"","","","","","","","","","","",3,"",3,"","","","","","","","","","","","","","",""
1113093,1,1,block_6,3,imported_Transition slide,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1113093,1,1,block_6,3,imported_Finish,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
