Rec_Session_Id,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,Audio device,Condition_Id,Countdown,English translation,English translation 1,English translation 2,Environment,Environment 1,environment choice ,Environment_copy_c417,Goal,Hearing abilities,Hearing disabilities,Input device,Native language,Other languages,Output device,Pilot,progress bar,quantity,Text device,toughness,toughness 
1114241,1,block_1,1,Greetings,1,"",1,"","","","","","","","","","","","","","","","","","","","",""
1114241,1,block_1,1,Survey,2,option_0,1,"","","","","","",option_0,"","","",false,"",English (New Zealand),Italian,"","","","",option_0,"",""
1114241,1,block_1,1,Instructions,3,"",1,0,"","","","","","","","","","","","","","","","","","","",""
1114241,89,block_1,1,Vocalizations task,4,"",1,"","","",drop,"","","","","","","","","","","","","","","","",""
1114241,49,block_1,1,Vocalizations task,4,"",1,"","","",whoosh,"","","","","","","","","","","","","","","","",""
1114241,10,block_1,1,Vocalizations task,4,"",1,"","","",hiss,"","","","","","","","","","","","","","","","",""
1114241,65,block_1,1,Vocalizations task,4,"",1,"","","",tick,"","","","","","","","","","","","","","","","",""
1114241,46,block_1,1,Vocalizations task,4,"",1,"","","",smack,"","","","","","","","","","","","","","","","",""
1114241,48,block_1,1,Vocalizations task,4,"",1,"","","",smack,"","","","","","","","","","","","","","","","",""
1114241,64,block_1,1,Vocalizations task,4,"",1,"","","",confused,"","","","","","","","","","","","","","","","",""
1114241,24,block_1,1,Vocalizations task,4,"",1,"","","",ouch,"","","","","","","","","","","","","","","","",""
1114241,20,block_1,1,Vocalizations task,4,"",1,"","","",blow hiss,"","","","","","","","","","","","","","","","",""
1114241,59,block_1,1,Vocalizations task,4,"",1,"","","",snort,"","","","","","","","","","","","","","","","",""
1114241,15,block_1,1,Vocalizations task,4,"",1,"","","",understand,"","","","","","","","","","","","","","","","",""
1114241,23,block_1,1,Vocalizations task,4,"",1,"","","",awe,"","","","","","","","","","","","","","","","",""
1114241,74,block_1,1,Vocalizations task,4,"",1,"","","",quiet,"","","","","","","","","","","","","","","","",""
1114241,79,block_1,1,Vocalizations task,4,"",1,"","","",sneeze,"","","","","","","","","","","","","","","","",""
1114241,47,block_1,1,Vocalizations task,4,"",1,"","","",funny,"","","","","","","","","","","","","","","","",""
1114241,40,block_1,1,Vocalizations task,4,"",1,"","","",agree,"","","","","","","","","","","","","","","","",""
