stimulus_concept,category,subcategory,n_responses,binary_mean,binary_n_correct,judged_mean,judged_sd,judged_median,judged_prop_0,judged_prop_1,judged_prop_2,judged_prop_3,cosine_mean,cosine_sd,cosine_median,cosine_q25,cosine_q75
sleep,action,action,1566,0.3212005108556833,503,2.203065134099617,0.7075247260183648,2,0.05108556832694764,0.015964240102171137,0.611749680715198,0.3212005108556833,0.8754355139014255,0.08190295355702905,0.8547196984291074,0.8547196984291074,0.92513370513916
eat,action,action,1127,0.4259094942324756,480,1.3283052351375333,1.4655690348509531,0,0.5368234250221828,0.023957409050576754,0.013309671694764862,0.4259094942324756,0.7813650101582119,0.1368955734595419,0.767694354057312,0.6550552546977995,0.8910180032253265
water,noun,inanimate,923,0.0866738894907909,80,0.26977248104008666,0.8510722165657949,0,0.9068255687973997,0.0032502708559046588,0.0032502708559046588,0.0866738894907909,0.6668139752748861,0.14354794121297726,0.6512791961431506,0.542064543813467,0.720015302300453
meat,noun,inanimate,971,0,0,0.02059732234809475,0.16864546339205125,0,0.9835221421215242,0.012358393408856848,0.004119464469618949,0,0.6398077008044774,0.07698883341967178,0.6939910650253295,0.5829187631607055,0.6950094252824786
child,noun,people,1040,0.01730769230769231,18,0.16538461538461538,0.5833376520656497,0,0.9182692307692307,0.015384615384615385,0.04903846153846154,0.01730769230769231,0.5966434906273768,0.10072990288874013,0.5747098326683044,0.5399610958993435,0.602004289627075
snake,noun,animal,827,0.13301088270858524,110,0.4014510278113664,1.0207995837941775,0,0.8657799274486094,0,0.0012091898428053204,0.13301088270858524,0.5963146116429718,0.16628885967445706,0.5215721018612385,0.5086060739122331,0.588804803788662
tiger,noun,animal,1036,0.015444015444015444,16,0.19401544401544402,0.5031330782678101,0,0.8388030888030888,0.1438223938223938,0.0019305019305019305,0.015444015444015444,0.5929377693179269,0.08962481695360258,0.5735464468598365,0.5331068467348814,0.632961094379425
bad,property,adjective,1105,9.049773755656109e-4,1,0.6009049773755656,0.4972743598555716,1,0.40180995475113124,0.5963800904977375,9.049773755656109e-4,9.049773755656109e-4,0.586774175370659,0.05551979011190486,0.5797647535800935,0.5706431418657305,0.58554245531559
fruit,noun,inanimate,989,0,0,0.006066734074823054,0.07769190420695514,0,0.993933265925177,0.006066734074823054,0,0,0.5790139972858667,0.05508243359441251,0.593066908419132,0.5290345586836338,0.6275739669799805
cut,action,action,784,0.08035714285714286,63,0.30739795918367346,0.8463859701811324,0,0.8635204081632653,0.04591836734693878,0.01020408163265306,0.08035714285714286,0.5745301863208697,0.13186865238430623,0.5200643911957741,0.50209666416049,0.575638934969902
hunt,action,action,854,0.00936768149882904,8,0.059718969555035126,0.3457230433277478,0,0.9625292740046838,0.02459016393442623,0.00351288056206089,0.00936768149882904,0.5710325032778201,0.07226975664650478,0.556516759097576,0.5206410307437181,0.612968996167183
fire,noun,inanimate,836,0.014354066985645933,12,0.056220095693779906,0.3732967795623311,0,0.972488038277512,0.013157894736842105,0,0.014354066985645933,0.5699253260071254,0.07734751386151005,0.5554623380303385,0.526508454233408,0.5930842459201815
