participant,native_language,hearing_disabilities,environment,audio_device,text_device,toughness,quantity_guessed,trial_id,stimulus_concept,guessed_concept,binary_guess,judged_similarity,cosine_similarity,cosine_rescaled,ord_norm,ord_f,bin_f
1112933,Portuguese,FALSE,home,speaker,phone,3,4,1,gather,bored,0,0,-0.0615684166550636,0.4692157916724682,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,1,gather,bored,0,0,-0.0615684166550636,0.4692157916724682,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,1,gather,alali,0,0,NA,NA,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,1,gather,alali,0,0,NA,NA,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,1,gather,slur,0,0,0.0514210388064384,0.5257105194032192,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,1,gather,azali,0,0,NA,NA,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,1,gather,azali,0,0,NA,NA,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,2,bad,disgusting,0,1,0.442950904369354,0.721475452184677,0.3333333333333333,1,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,2,bad,disgusting,0,1,0.442950904369354,0.721475452184677,0.3333333333333333,1,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,2,bad,disgusting,0,1,0.442950904369354,0.721475452184677,0.3333333333333333,1,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,2,bad,disgussed,0,1,NA,NA,0.3333333333333333,1,0
1112936,Italian,FALSE,home,speaker,computer,3,3,2,bad,disgust,0,1,0.159529507160187,0.5797647535800935,0.3333333333333333,1,0
1112936,Italian,FALSE,home,speaker,computer,3,3,2,bad,disgust,0,1,0.159529507160187,0.5797647535800935,0.3333333333333333,1,0
1112936,Italian,FALSE,home,speaker,computer,3,3,2,bad,disgust,0,1,0.159529507160187,0.5797647535800935,0.3333333333333333,1,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,2,bad,ugh,0,0,0.282574713230133,0.6412873566150665,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,3,big,amazed,0,0,0.0262587927281857,0.5131293963640928,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,3,big,amazed,0,0,0.0262587927281857,0.5131293963640928,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,3,big,amazed,0,0,0.0262587927281857,0.5131293963640928,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,3,big,amazed,0,0,0.0262587927281857,0.5131293963640928,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,3,big,bear,0,0,0.199288547039032,0.599644273519516,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,3,big,woah,0,0,0.0201866887509823,0.5100933443754911,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,3,big,woah,0,0,0.0201866887509823,0.5100933443754911,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,3,big,woah,0,0,0.0201866887509823,0.5100933443754911,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,4,dull,understand,0,0,-0.0471782274544239,0.47641088627278805,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,4,dull,understand,0,0,-0.0471782274544239,0.47641088627278805,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,4,dull,sleeping,0,0,0.0100722415372729,0.5050361207686365,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,4,dull,sleeping,0,0,0.0100722415372729,0.5050361207686365,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,4,dull,bored,0,2,0.480028629302979,0.7400143146514895,0.6666666666666666,2,0
1112936,Italian,FALSE,home,speaker,computer,3,3,4,dull,bored,0,2,0.480028629302979,0.7400143146514895,0.6666666666666666,2,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,4,dull,eat,0,0,-0.0393650978803635,0.48031745105981827,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,5,hunt,anger,0,0,-0.0326927341520786,0.4836536329239607,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,5,hunt,anger,0,0,-0.0326927341520786,0.4836536329239607,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,5,hunt,fight scream,0,0,0.159331545233727,0.5796657726168635,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,5,hunt,opla,0,0,NA,NA,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,5,hunt,owla,0,0,NA,NA,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,6,knife,short blowing,0,0,-0.115534827113152,0.442232586443424,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,6,knife,punches sound,0,0,-0.0223114863038063,0.48884425684809685,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,6,knife,shake the stick,0,0,-0.0556019358336926,0.4721990320831537,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,6,knife,whip whip whip,0,0,0.153672352433205,0.5768361762166025,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,7,man,disgusting,0,0,-0.0278082340955734,0.4860958829522133,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,7,man,disgusting,0,0,-0.0278082340955734,0.4860958829522133,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,7,man,realization,0,0,0.036594845354557,0.5182974226772785,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,7,man,realization,0,0,0.036594845354557,0.5182974226772785,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,7,man,angry,0,0,0.00991619564592838,0.5049580978229642,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,7,man,ugooo,0,0,NA,NA,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,8,meat,eat,0,0,0.387982130050659,0.6939910650253295,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,8,meat,eat,0,0,0.387982130050659,0.6939910650253295,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,8,meat,eat,0,0,0.387982130050659,0.6939910650253295,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,8,meat,eating,0,0,0.390018850564957,0.6950094252824786,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,8,meat,eating,0,0,0.390018850564957,0.6950094252824786,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,8,meat,disgust,0,0,0.0061716353520751,0.50308581767603755,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,8,meat,gnome,0,0,-0.0774652063846588,0.4612673968076706,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,9,one,negative,0,0,0.0559686124324799,0.5279843062162399,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,9,one,indifference,0,0,3.16342397127301e-4,0.5001581711985637,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,9,one,assens,0,0,NA,NA,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,9,one,umm,0,0,0.100640624761581,0.5503203123807905,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,10,snake,fuse,0,0,-0.0029919280204922,0.4985040359897539,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,10,snake,hiss,0,0,0.177609607577324,0.588804803788662,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,10,snake,hiss,0,0,0.177609607577324,0.588804803788662,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,10,snake,aspirate saliva,0,0,0.030188174918294,0.515094087459147,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,10,snake,fish,0,0,0.227632120251656,0.613816060125828,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,11,that,surprise,0,0,0.109341219067574,0.554670609533787,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,11,that,surprise,0,0,0.109341219067574,0.554670609533787,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,11,that,realization,0,0,0.0948165133595467,0.5474082566797733,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,11,that,realization,0,0,0.0948165133595467,0.5474082566797733,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,11,that,yawn,0,0,-0.0470781363546848,0.4764609318226576,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,11,that,yawn,0,0,-0.0470781363546848,0.4764609318226576,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,11,that,who,0,0,0.558362245559692,0.779181122779846,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,12,tiger,animal or monster,0,1,0.274751782417297,0.6373758912086485,0.3333333333333333,1,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,12,tiger,roaring,0,0,0.22000589966774,0.61000294983387,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,12,tiger,roaring,0,0,0.22000589966774,0.61000294983387,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,12,tiger,roar,0,0,0.26592218875885,0.632961094379425,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,12,tiger,roar,0,0,0.26592218875885,0.632961094379425,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,12,tiger,roar,0,0,0.26592218875885,0.632961094379425,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,12,tiger,rawrrrrr,0,0,NA,NA,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,13,woman,scared,0,0,0.0391409918665886,0.5195704959332943,0,0,0
1112933,Portuguese,FALSE,home,speaker,phone,3,4,13,woman,scared,0,0,0.0391409918665886,0.5195704959332943,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,13,woman,realization,0,0,0.0206151120364666,0.5103075560182333,0,0,0
1112935,Portuguese,FALSE,home,speaker,computer,2,4,13,woman,realization,0,0,0.0206151120364666,0.5103075560182333,0,0,0
1112936,Italian,FALSE,home,speaker,computer,3,3,13,woman,amazement,0,0,0.0611499845981598,0.5305749922990799,0,0,0
1112937,Urdu,FALSE,home,speaker,computer,5,2,13,woman,oul,0,0,0.0646790117025375,0.5323395058512688,0,0,0
